CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Purchase_Frequency_Year,Avg_Order_Value,Recency_Days,Return_Rate_Pct,Discount_Usage_Pct,Online_Order_Ratio,App_Sessions_Month,Years_As_Customer,Total_Annual_Spend,High_Value_Customer,Cluster_ID,Persona_Name,Persona_Tag,Tier,High_Value_Prediction,High_Value_Probability,Marketing_Strategy,Recommended_Channel
CUST_0001,Male,22,76,52,18,176.69,213,23.4,46.7,0.43,13,3.6,3180.42,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0002,Female,35,44,93,29,248.73,94,22.0,63.2,0.55,21,5.1,7213.17,1,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.998,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0003,Female,45,66,52,18,195.38,278,17.6,46.1,0.45,9,5.4,3516.84,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0004,Female,59,43,36,15,153.42,267,19.2,38.1,0.19,5,7.7,2301.3,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0005,Male,39,46,38,13,115.85,275,21.1,47.5,0.66,10,4.6,1506.05,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0006,Male,38,32,50,13,111.71,252,17.3,60.0,0.65,6,3.6,1452.23,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0007,Male,23,40,63,22,154.36,166,22.9,55.9,0.4,12,3.0,3395.92,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0008,Female,18,33,63,19,134.69,218,15.7,61.7,0.5,16,2.6,2559.11,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0009,Female,22,39,62,21,172.66,210,20.8,52.4,0.49,18,3.7,3625.86,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.002,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0010,Female,58,97,99,33,284.96,93,8.1,59.5,0.46,14,6.9,9403.68,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.998,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
